,Sentence,Label
197, Unlike adichengilum mammookaye tholpikkumenn paranj kond pramukha  fans,Negative
198, Scripwriter Harikrishnan: Mass Director VAShrikumarMenon: Pakkamass Lalettan: Maranamass🤩,Positive
199, Ikkayude mass perfoamnce kaanan Kothichu Etra naalayi..Waiting april 12..Raja,Positive
200, release nalle....kanaan povvunnavar ...plzz like...palettan katta fans,Neutral
201,Ittichan Polichuuuu Onam Lalettan eduthu ennu parayan Paranju,Positive
202,njan parayunnu eetavum valiya big flop aayirikkum,Negative
203, Adikkada makkale like mega star daa,Positive
204, Adipoli trailer lalettan faninte ella supportum undakum ikka kiduki,Positive
205, Ittimani  mass ahnn manasuman,Neutral
206,Oru idi idikkumbozhekkum... Aalkaar adutha Jilla ethi kaanum...,Neutral
207,Mammookka uyir like adichu pottikada makkale,Positive
208, Oru lalettan fan aaya njan polum like adichu poyi.... sprb,Positive
209, Who are you mr  Athoru velya kadhaya mone  Paranj tudangya oru 10 - 30 kollathe charitram prynm    Ikkaa,Neutral
210, Urakkam nashtappettu  Ith pinneyum kaanan thonnanu,Positive
211,Lalettaa Ormavecha naalu muthal malayalikalude aaavesamaya lalettaaa,Positive
212, Unniyettan first ..jayettan fans like podu!,Neutral
213, Gambeeeeeeeeeeram.,Positive
214, kalaparinju sheenicha karshakanu ini visramikkam,Neutral
215, Happy birthday  ikka movie polkikum....,Positive
216,Daivamea njan ninnea vitt 28nu Chekuthantea koodea pokuvea,Neutral
217, Vishnu avatharam Narasimham vannu .. Ini veranullathu avanaaa Kalkiii,Neutral
218, Last one punch superman punch  madura raja special,Positive
219, Trailer kand chiri vannavar ivide like adi,Neutral
220, Joy thakkolkaaranil ninnum oru massZz change,Positive
221, Avuudeiiyee eth pollikkum ennu urappullavar adi likeee,Neutral
222, priwtiraj  enna  otta karannam  kond  like  adikuna  kure pear,Neutral
223, Padam kandit  trailer Kanan vanath njn mathrm ano ?,Neutral
224,Its not a trailer its a ultsavam,Positive
225,Mohanlal ee 100crore kayarumen urapp ullavar like adi,Neutral
226, Oru raksha illa  adipoli trailer,Positive
227, Ninga polik ikka namma undu koode......alla pinne..,Positive
228, Ethu polikkum makalle. Our king is back,Positive
229,unniyude mamangam ennum paranju karanjondu nadannavarude annakkiladichu kodutha mammookka,Neutral
230, Agane veedum oru mass's padam mm...,Neutral
231, Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,Negative
232, Vineeth sreenivasan ennnu kanda pinne onnum nokkanda padam vere level ayirikkum,Positive
233, Orru onnonara range padam aahntaa ee padam,Positive
234,Ethakayo pundakal e myre eragiyal Lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu,Negative
235, Promising trailer Chummma aangu powlich adukki kaiyil koduthu Ikkkkaaaaa ente ponno ejjathi romanjam🤩,Positive
236, Ohh mamooka kalaki...Adipoli trailer... Best Wishes from Tamil Nadu.,Positive
237, 1:23 PREDATOR movie BGM copycat !!! deepak dev anna,Neutral
238, Villain tovino anengkil maari 2 kazhiyinj 2 movie as villain,Neutral
239, Film kandu.....Nalla movie aan dharyam ayi book cheythoolu🤗,Positive
240, Ee 2019 enna varsham Maamookkant thanne aan,Positive
241, Super mega hit aaayirikkum  mark,Positive
242,Views 10M kadakkum ennurappullavar like adi,Neutral
243, Morning eneechepol thanne veendum kandavar arund7.22,Positive
244, Mamooka we love u so much..,Positive
245, പൊളി ട്രെയ്‌ലർ ലാലേട്ടൻ & പൃഥ്വിരാജ് This deal is with the devil.... Pwoli.... Can't wait....,Positive
246,രാജ double അല്ല,Positive
247, Ithinte munnil Paavam madhuraraja entu aakumo ento... Mikkavarum sugar koodi chaakum madhura-raja ... Paavam mammunni...,Negative
248, Time 3.45AM  kaanan vannavar undooo,Neutral
249,Fake liker pidichu ikka oombi,Negative
250, Ichaakkaa.. Pwolichu tto   All the best mammookka   By  lalettan fan,Positive
251, Aaran manjuvintey bharthavum makalum aayittu veshamitta thaarangal? aarkkenkilum ariyamenkil parayumo pleas?,Neutral
252, Ithu nammude peruchazhi aaano prithvi etttaaa???,Neutral
253, Ini releasine vendi katta waiting 🤩,Positive
254, Prithvirajinte character poster kanditt ... Trailer onnode kaanan vannavar undoo??,Neutral
255, Innu ravile vare 181k likes..ippo varum 121k likes..🤔,Neutral
256, Malaylikal ithraku chettakal ano 7.5k dislike . malayala cinima ithukond evideaku ethi pedathathu,Negative
257, Prithviraj Undennu Arinju Trailer Kandavar Like Adiku  1:01 Zayed Masood,Neutral
258, Big B 2aano ettu kanditu atakana vari,Neutral
259, Sathykatha anthannu vacha kandittu angottu mathivarunnilla,Positive
260,Neerali release date epozha makkale ..... Perunnal Derrick abraham angu eduthu makkale,Positive
261, L U C I F E R,Neutral
262, Ente ponnu mammookka  ellarum level .....Ultra romanjification,Positive
263, Mamangam Vismayathinu 5 naalukal mathram Katta waiting,Positive
264,Ethra thavana kandennu enk polum ariyilllaaaa,Positive
265, feels more like a tamil telugu masalappadam.. pokkiriraja comedy aayirunnu highlight.. ithil athum illennu thonunnu... trailer nirashapeduthi...,Negative
266, Oru thavana kanumbozhum hype kooduvanallo Bhaghavane,Positive
267, Ikkka romajam ikkka uyir poli ennni 21 kannnam,Positive
268, im from mars but i love laletan,Positive
269, Balaalsankam.... Aaa pani njn cheyyilla... Neeyum cheyyilla,Neutral
270,16k viewsum 91k likesum itheppadi nthayalum ang usharakkii #madhura raja power of indian cinema mammookkaa,Positive
271, mamooka enn uyir  enn anbu enn singamda enn muth mani... 300crore adikum,Positive
272, Raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum,Neutral
273, Ikka     waiting.........,Positive
274, Nammude mutth veedum vannu polikkum muthe,Positive
275, feel good kand maduthavarkkaayitha ichayante  mass masala padam,Positive
276,Jayetta katta fan....pakse ithonum oodathila ..oodilelum nalla cinema ayirnel kuyapolarnu..entho trailer kandite aa feelum varunila...anyway goodkuck,Negative
277,Ufff vere level ikkaaa ingha pwoli aahn,Positive
278, Kerala police friends undel ivide kodu oru like......,Neutral
279, ഇവിടെ telug padangal vevoola mr Twolinjo..,Negative
280, cattepoya ninde chettan cheguttan lasaralla lusifarmatan vannalum raja cup konde poku,Neutral
281, Padam. Kandu kazhinit trailer kaanan vannavar ivide like adi,Neutral
282, Padam kndit vndum trailer kanumpo veror feel,Positive
283,THIS DEAL WITH DEVIL ITH ORU POLI POLIKKUM,Positive
284, Ettan fan aanu  Mamankathinayi katta waiting,Positive
285,Ee varavu bollywood ine thakarkanam enn ente mathram aagrahamavilla,Neutral
286,Pwoli..... ethu vere level..... Raja returns......ikka da,Positive
287, mallu students canada arelum? like here,Neutral
288, trailet ingana.appo cinema enganayundanne parayano... katta waiting..KL 40 fans,Positive
289, Odiyante sheenam njnga lalettante piller ee luciferil ang theerkum....,Positive
290, mammookkaye ee traileril kandu njettattavar aarum undavilla !,Positive
291,ithi varum rajavinta trailer matram iny pooram padathila,Positive
292, Youtube hang avan ready ayiko L,Positive
293, mollywoodin thala uyarthan  mammookkayude vaka puthiya oruitem koodi     mammookka fan like adi,Positive
294, Ottavakkil paranjal oru Pavam Padam.... But powerful,Positive
295,veendum veendum kooduthal praavashyam kaanunnavar undoo?,Neutral
296, Njn oru ettan fan ahnu.trailer pwolichuttoo ikka superr abhrahm pwolikm,Positive
297, Fanbasil maathram movei kaanunnoraavum dislike cheythu negative aakkunne avarkkente naduviral pranamam,Negative
298, Malaya cinema abhimanikkunnu ingane oru nadane kittyathil.....Wish u a very swt & hpy bthday mammooka 🥡🥡,Positive
299, Malayala cinemayude .....  Ore oru Rajavu   #Lalettan,Positive
300, Njan oru katta ettan fan Annu enkilum....ithu polikum,Positive
301, 68 vayassunden oke paranj ingane pattikkale en parayanam sire....,Neutral
302,Nammude kunjunnimaaashine orma vannavar like adiche,Neutral
303, Adipoli super  bgm no raksha,Positive
304, Nenjum virich slow motionil oru varavund massennonnum paranjal pora maranamass,Positive
305, Brothers Daykkum Ittimanikkum Ore Pole Wait Cheyyuvnnavar Like,Neutral
306, Oru onnonnara item varunnundu ready ayi ko makale...luving mammookka..,Positive
307, Njan laalettan fana pakshe i love this movie,Positive
308, 1:44  ikka nigalde energy passion    0:37  0:47 King 1:08  1:26 1:32,Positive
309,Mass trailer .. vere level anu,Positive
310,Loosifarinekal. Viewsum likum  ee trailerinu kittan aagrahikkunnavar adicho likee,Neutral
311,Ikka fans,Neutral
312, Eniyum eniyum malayala cinema orupaad uyaragalil ethatte,Positive
313, 3:15 am ksa time nu kanunnund bro,Neutral
314, Raja  ellam adich toofan aakum,Positive
315,Ikkauda oru Mikacha movie thannayairikkum ithu urappuu MA- angam,Positive
316, Ente ikka ningale vellan oru lalapanum pattula,Negative
317, Itil alle pearle maaney ulluathu.... Trailer il illallo,Neutral
318, Ettante look oru rakshayilla..... Chumma kasarii....,Positive
319, Trailer kandapo oru karyam urapichu #LAD,Neutral
320, Shavakallarayile Kuzhimaadathile Peril Oru Letter marach pedich lalettan ninnappo Onnu Nadungi,Neutral
321,Trailor cut chey,Neutral
322, mammootty anna telugu ārādhakar iviṭe iṣṭappeṭunnu,Positive
323, Ejjathi level sadhanam ishttappettavar like adik🥰,Positive
324, Katta vishayam oru rekshem illa etta fdfs,Positive
325, Padma innaanu kande,Negative
326, 100cr club keriyathinu sesham trailer kandavar undo,Positive
327, All the best ettan fansinte vaka ikkaykhe,Positive
328, fans ticket kittiyavar ivide like adii,Neutral
329, Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka,Positive
330, Mammookkayude sound oru rekshayum illa pwolii,Positive
331, Enna parayana  onnum parayanilla,Neutral
332,@ 1:59,Neutral
333, redy ayikko makkalee.. vedikettinu thiri koluthi..,Positive
334,Oru rakshayilla mass trailer!!!  Mammookka 🥰,Positive
335, Ethine dislike adicha nainte makkal eatgaaa,Negative
336,eante ponnu ikka mass love mammookka,Positive
337, Manju chechiye kaanan vanavar evide like,Neutral
338, Nte ponnikkaaa inghal enthinilla porappadilaaa nte ammooo poli,Positive
339, Waste trailer,Negative
340, Super mammoookkkaaa... ....   Oru lalettan bhakthan..,Positive
341, BGM ejjathi...romancham...athine pati adhikam paranju kandilla,Positive
342, 8 mani onnu vagam ayal matiyarunnu. 🤩 #megastar,Positive
343,Ettaaaa kandalum kandalum mathi varunnillaaaaaa poli anu kettooooo,Positive
344, Kashtapettu Unlike cheyyunnavar aaruda fans ennathinu samsayamilla  iniyatra unlike adichalum avarkariyam Padam records bedikumennu,Negative
345, Thakarthu Jayettaa..  katta waiting for Pullu Giri n Team,Positive
346, Malayala cinemayude charithram mattan deric abraham june 16 ethum,Positive
347, Lucifer um madhura rajayum  block buster film avatte........,Positive
348, endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki,Positive
349,Eee padam oru above feel good movie aayirikkum een pratheekshikku...DILEEPETTAN. ..love you....,Positive
350, Entirely different dileep etta   A10 okke kanunundallo alle,Neutral
351, Ellarum sradhicho ennariyilla pakshe enikk ee trailer adichappol 10 same trailers vannu ithokke aarude paniyaa,Neutral
352, Njan oru lalettan fan anu.. pakshe ithu polichu... ikka super,Positive
353, E mothalin 68 age und en parnja AR vishvasikunth,Neutral
354, Ente rajuvetaa..Enthina njangale ingane romanjam kollikkunne,Positive
355, Gangster vannu thakarthu ini monsterinte oozham #L,Positive
356, Onnu vegam dec 14 ayya mathiyayirinnu,Positive
357, Thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd 🤭🤭abarariyunilaa malayala cinemayude shaapam aann lalettan fans en,Negative
358,7 minute kond 8.3 k view🤩,Positive
359, Lucifer polichadakki kazhinchu enne thonunnavar like adikk makkale..,Neutral
360, 6.1k mamunni fans ithe kandu ennu aa dislike button kandapol manasilayi,Negative
361, Jayasurya chyuna a ella characters um pwoliya... Shaji pappen,Positive
362,Ee vesham cheyan pattiya 2 malayalam actor mare ollu . Athu ...ikka .prithviraj.  sheriyannengil adi like,Neutral
363, Aghu madhurayil ninnum keralathilekk raja varunnath chumma povan alla,Neutral
364, Ithokke dislike adikkunavare kale vari adikkanam,Negative
365,Hindukallku Ivn Ravanan Muslingalkku Ivan Ibleees Christhianikallkidayil ivn Otta Perry ollu #LUCIFER,Neutral
366, Katta waitinggg....  lalettaaaaaaa.... Luv u so much..,Positive
367, eee mammunnikk 10 million onnum ethikkaanulla traniyilla,Negative
368, Hindukalk ivan mahiravan Islamin ivan iblees Christiansin ivan LUCIFER Pakshe nammuk LALETTAN,Neutral
369,Suraj anna.. entha parayya.. annan nte acting .. vallathe range aayi anna.. onnum parayan illa.. othiri ishtama,Positive
370,Njan Katta Lalettan aradhakananu. Ikkayude padathinu ella ashamsakalum.,Positive
371,Vikruthiyude vijayathinu shesham veendum prekshakare akamshayilakkikond adutha padam Android Kunjappan..Awaiting 🥰🥰🥰,Positive
372, Nalla trailer filimum athu pole aakum ennu pradheeshikkunnu,Positive
